Number of Terms Truncated (k), Power Consumption (W),Reconstruction Error (%)
211,2.733750e-08,0.164663
212,2.555520e-08,0.166917
213,2.385210e-08,0.169133
214,2.222640e-08,0.170609
215,2.067630e-08,0.172905
216,1.920000e-08,0.174913
217,1.779570e-08,0.177055
218,1.646160e-08,0.179668
219,1.519590e-08,0.181351
220,1.399680e-08,0.183336
221,1.286250e-08,0.185175
222,1.179120e-08,0.187388
223,1.078110e-08,0.189797
224,9.830400e-09,0.191872
225,8.937300e-09,0.194369
226,8.100000e-09,0.196759
227,7.316700e-09,0.199279
228,6.585600e-09,0.200667
229,5.904900e-09,0.203278
230,5.272800e-09,0.205446
231,4.687500e-09,0.208337
232,4.147200e-09,0.211252
233,3.650100e-09,0.213918
234,3.194400e-09,0.217122
235,2.778300e-09,0.221658
236,2.400000e-09,0.224622
237,2.057700e-09,0.228375
238,1.749600e-09,0.233004
239,1.473900e-09,0.236107
240,1.228800e-09,0.240533
241,1.012500e-09,0.243643
242,8.232000e-10,0.246618
243,6.591000e-10,0.250353
244,5.184000e-10,0.254045
245,3.993000e-10,0.256993
246,3.000000e-10,0.262131
247,2.187000e-10,0.274831
248,1.536000e-10,0.283498
249,1.029000e-10,0.289094
250,6.480000e-11,0.293074
251,3.750000e-11,0.298038
252,1.920000e-11,0.311913
253,8.100000e-12,0.347949
254,2.400000e-12,0.362887
255,3.000000e-13,0.375742
256,0.000000e+00,1.000000
