Number of Terms Truncated (k), Power Consumption (W),Reconstruction Error (%)
211,2.733750e-08,0.084167
212,2.555520e-08,0.085982
213,2.385210e-08,0.087888
214,2.222640e-08,0.089365
215,2.067630e-08,0.090258
216,1.920000e-08,0.091661
217,1.779570e-08,0.092994
218,1.646160e-08,0.094684
219,1.519590e-08,0.096528
220,1.399680e-08,0.097965
221,1.286250e-08,0.099466
222,1.179120e-08,0.100909
223,1.078110e-08,0.102725
224,9.830400e-09,0.104667
225,8.937300e-09,0.106000
226,8.100000e-09,0.107727
227,7.316700e-09,0.110740
228,6.585600e-09,0.112159
229,5.904900e-09,0.113498
230,5.272800e-09,0.114634
231,4.687500e-09,0.116015
232,4.147200e-09,0.117476
233,3.650100e-09,0.118955
234,3.194400e-09,0.120789
235,2.778300e-09,0.121946
236,2.400000e-09,0.123012
237,2.057700e-09,0.124688
238,1.749600e-09,0.126131
239,1.473900e-09,0.127994
240,1.228800e-09,0.130085
241,1.012500e-09,0.131551
242,8.232000e-10,0.132730
243,6.591000e-10,0.134075
244,5.184000e-10,0.137724
245,3.993000e-10,0.141094
246,3.000000e-10,0.142370
247,2.187000e-10,0.148002
248,1.536000e-10,0.152996
249,1.029000e-10,0.155150
250,6.480000e-11,0.161787
251,3.750000e-11,0.182742
252,1.920000e-11,0.208066
253,8.100000e-12,0.235730
254,2.400000e-12,0.247013
255,3.000000e-13,0.294201
256,0.000000e+00,1.000000
