Number of Terms Truncated (k), Power Consumption (W),Reconstruction Error (%)
211,2.733750e-08,0.062852
212,2.555520e-08,0.063517
213,2.385210e-08,0.064060
214,2.222640e-08,0.064771
215,2.067630e-08,0.065213
216,1.920000e-08,0.065919
217,1.779570e-08,0.066472
218,1.646160e-08,0.067071
219,1.519590e-08,0.067970
220,1.399680e-08,0.068764
221,1.286250e-08,0.069666
222,1.179120e-08,0.070424
223,1.078110e-08,0.070985
224,9.830400e-09,0.071940
225,8.937300e-09,0.072506
226,8.100000e-09,0.073267
227,7.316700e-09,0.073958
228,6.585600e-09,0.074981
229,5.904900e-09,0.075779
230,5.272800e-09,0.076700
231,4.687500e-09,0.077538
232,4.147200e-09,0.078298
233,3.650100e-09,0.078933
234,3.194400e-09,0.079700
235,2.778300e-09,0.080220
236,2.400000e-09,0.081010
237,2.057700e-09,0.081705
238,1.749600e-09,0.082421
239,1.473900e-09,0.083419
240,1.228800e-09,0.084022
241,1.012500e-09,0.084723
242,8.232000e-10,0.085986
243,6.591000e-10,0.086497
244,5.184000e-10,0.087032
245,3.993000e-10,0.088053
246,3.000000e-10,0.090134
247,2.187000e-10,0.091834
248,1.536000e-10,0.093326
249,1.029000e-10,0.096057
250,6.480000e-11,0.097869
251,3.750000e-11,0.099565
252,1.920000e-11,0.103186
253,8.100000e-12,0.111607
254,2.400000e-12,0.131273
255,3.000000e-13,0.168427
256,0.000000e+00,1.000000
