Number of Terms Truncated (k), Power Consumption (W),Reconstruction Error (%)
211,2.733750e-08,0.160721
212,2.555520e-08,0.162527
213,2.385210e-08,0.164562
214,2.222640e-08,0.166346
215,2.067630e-08,0.167783
216,1.920000e-08,0.170472
217,1.779570e-08,0.172929
218,1.646160e-08,0.175219
219,1.519590e-08,0.177413
220,1.399680e-08,0.181076
221,1.286250e-08,0.185088
222,1.179120e-08,0.187346
223,1.078110e-08,0.190246
224,9.830400e-09,0.193328
225,8.937300e-09,0.196922
226,8.100000e-09,0.199895
227,7.316700e-09,0.204120
228,6.585600e-09,0.208045
229,5.904900e-09,0.212196
230,5.272800e-09,0.216207
231,4.687500e-09,0.219140
232,4.147200e-09,0.221752
233,3.650100e-09,0.225364
234,3.194400e-09,0.228221
235,2.778300e-09,0.231449
236,2.400000e-09,0.234139
237,2.057700e-09,0.238446
238,1.749600e-09,0.242775
239,1.473900e-09,0.248048
240,1.228800e-09,0.252236
241,1.012500e-09,0.256474
242,8.232000e-10,0.260297
243,6.591000e-10,0.264168
244,5.184000e-10,0.269193
245,3.993000e-10,0.275082
246,3.000000e-10,0.280120
247,2.187000e-10,0.286017
248,1.536000e-10,0.292174
249,1.029000e-10,0.296358
250,6.480000e-11,0.298230
251,3.750000e-11,0.299946
252,1.920000e-11,0.301566
253,8.100000e-12,0.305695
254,2.400000e-12,0.306413
255,3.000000e-13,0.307106
256,0.000000e+00,1.000000
