Number of Terms Truncated (k), Power Consumption (W),Reconstruction Error (%)
211,2.733750e-08,0.075689
212,2.555520e-08,0.076266
213,2.385210e-08,0.076957
214,2.222640e-08,0.077394
215,2.067630e-08,0.078276
216,1.920000e-08,0.078890
217,1.779570e-08,0.079595
218,1.646160e-08,0.080309
219,1.519590e-08,0.081039
220,1.399680e-08,0.081793
221,1.286250e-08,0.082391
222,1.179120e-08,0.083246
223,1.078110e-08,0.083959
224,9.830400e-09,0.084628
225,8.937300e-09,0.085293
226,8.100000e-09,0.086473
227,7.316700e-09,0.087570
228,6.585600e-09,0.089026
229,5.904900e-09,0.090244
230,5.272800e-09,0.091436
231,4.687500e-09,0.092524
232,4.147200e-09,0.094906
233,3.650100e-09,0.096735
234,3.194400e-09,0.097787
235,2.778300e-09,0.099193
236,2.400000e-09,0.100860
237,2.057700e-09,0.104072
238,1.749600e-09,0.106688
239,1.473900e-09,0.108547
240,1.228800e-09,0.111449
241,1.012500e-09,0.113742
242,8.232000e-10,0.116906
243,6.591000e-10,0.121273
244,5.184000e-10,0.124623
245,3.993000e-10,0.130316
246,3.000000e-10,0.135486
247,2.187000e-10,0.140194
248,1.536000e-10,0.144881
249,1.029000e-10,0.147979
250,6.480000e-11,0.153711
251,3.750000e-11,0.155984
252,1.920000e-11,0.160302
253,8.100000e-12,0.162176
254,2.400000e-12,0.193774
255,3.000000e-13,0.212153
256,0.000000e+00,1.000000
