Opened file with command: gunzip -c ../traces/sml.ptr.gz 

** PIPELINE IS 2 WIDE **

[82] ST[255:0][25:1][255:0]{0:0}<140733643720584>[1:0][0:0]
[83] ST[255:0][24:1][255:0]{0:0}<140733643720584>[1:0][0:0]

[84] ST[255:0][24:1][255:0]{0:0}<140733643720584>[1:0][0:0]
[85] ST[255:0][14:1][255:0]{0:0}<140733643720584>[1:0][0:0]

[86] ST[255:0][14:1][255:0]{0:0}<140733643720584>[1:0][0:0]
[87] ST[255:0][16:1][255:0]{0:0}<140733643720584>[1:0][0:0]

[88] ST[255:0][16:1][255:0]{0:0}<140733643720584>[1:0][0:0]
[89] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[90] ALU[15:1][15:1][255:0]{0:1}<0>[0:0][0:0]
[91] ST[255:0][255:0][255:0]{0:0}<140733643720584>[1:0][0:0]

[92] ST[255:0][255:0][255:0]{0:0}<140733643720584>[1:0][0:0]
[93] ST[255:0][18:1][255:0]{0:0}<140733643720584>[1:0][0:0]

[94] ST[255:0][18:1][255:0]{0:0}<140733643720584>[1:0][0:0]
[95] ST[255:0][20:1][255:0]{0:0}<140733643720584>[1:0][0:0]

[96] ST[255:0][20:1][255:0]{0:0}<140733643720584>[1:0][0:0]
[97] ST[255:0][21:1][255:0]{0:0}<140733643720584>[1:0][0:0]

[98] ST[255:0][21:1][255:0]{0:0}<140733643720584>[1:0][0:0]
[99] LD[27:1][255:0][255:0]{0:1}<413729688>[0:1][0:0]

[100] LD[27:1][255:0][255:0]{0:1}<413729688>[0:1][0:0]


