Trace,Cache Size,Associativity,Block Size,Accesses,Hits,Misses,ReadMiss,ReadCount,WriteMiss,WriteCount,Writebacks
trace.bubble, 131072, 16, 1024, 6322343, 6318409, 3934, 3594, 5666010, 340, 656333, 984
trace.bubble, 131072, 32, 1024, 6322343, 6318565, 3778, 3447, 5666010, 331, 656333, 963
trace.bubble, 131072, 64, 1024, 6322343, 6318622, 3721, 3395, 5666010, 326, 656333, 945
trace.bubble, 131072, 1, 2048, 6322343, 6285050, 37293, 30223, 5666010, 7070, 656333, 10696
trace.bubble, 131072, 2, 2048, 6322343, 6312544, 9799, 9228, 5666010, 571, 656333, 2068
trace.bubble, 131072, 4, 2048, 6322343, 6315169, 7174, 6872, 5666010, 302, 656333, 1538
trace.bubble, 131072, 8, 2048, 6322343, 6316322, 6021, 5743, 5666010, 278, 656333, 1236
trace.bubble, 131072, 16, 2048, 6322343, 6316881, 5462, 5183, 5666010, 279, 656333, 1208
trace.bubble, 131072, 32, 2048, 6322343, 6317739, 4604, 4337, 5666010, 267, 656333, 1089
trace.bubble, 131072, 64, 2048, 6322343, 6318010, 4333, 4071, 5666010, 262, 656333, 1059
trace.merge, 131072, 1, 4, 7678430, 7141871, 536559, 363258, 6544752, 173301, 1133678, 206238
trace.merge, 131072, 2, 4, 7678430, 7540892, 137538, 75272, 6544752, 62266, 1133678, 56999
trace.merge, 131072, 4, 4, 7678430, 7556110, 122320, 62700, 6544752, 59620, 1133678, 51324
trace.merge, 131072, 8, 4, 7678430, 7563137, 115293, 60388, 6544752, 54905, 1133678, 50218
trace.merge, 131072, 16, 4, 7678430, 7563385, 115045, 59849, 6544752, 55196, 1133678, 48976
trace.merge, 131072, 32, 4, 7678430, 7564590, 113840, 59856, 6544752, 53984, 1133678, 48767
trace.merge, 131072, 64, 4, 7678430, 7565422, 113008, 59828, 6544752, 53180, 1133678, 48623
trace.merge, 131072, 1, 8, 7678430, 7281215, 397215, 271780, 6544752, 125435, 1133678, 145059
trace.merge, 131072, 2, 8, 7678430, 7601714, 76716, 44703, 6544752, 32013, 1133678, 30985
trace.merge, 131072, 4, 8, 7678430, 7609989, 68441, 37672, 6544752, 30769, 1133678, 27852
trace.merge, 131072, 8, 8, 7678430, 7613604, 64826, 36260, 6544752, 28566, 1133678, 27021
trace.merge, 131072, 16, 8, 7678430, 7613726, 64704, 35874, 6544752, 28830, 1133678, 26445
trace.merge, 131072, 32, 8, 7678430, 7613986, 64444, 35806, 6544752, 28638, 1133678, 26545
trace.merge, 131072, 64, 8, 7678430, 7614179, 64251, 35784, 6544752, 28467, 1133678, 26682
trace.merge, 131072, 1, 16, 7678430, 7367436, 310994, 214078, 6544752, 96916, 1133678, 114979
trace.merge, 131072, 2, 16, 7678430, 7636429, 42001, 25551, 6544752, 16450, 1133678, 16606
trace.merge, 131072, 4, 16, 7678430, 7641059, 37371, 21578, 6544752, 15793, 1133678, 14884
trace.merge, 131072, 8, 16, 7678430, 7642816, 35614, 20763, 6544752, 14851, 1133678, 14395
trace.merge, 131072, 16, 16, 7678430, 7642964, 35466, 20441, 6544752, 15025, 1133678, 14132
trace.merge, 131072, 32, 16, 7678430, 7642908, 35522, 20361, 6544752, 15161, 1133678, 14223
trace.merge, 131072, 64, 16, 7678430, 7642954, 35476, 20281, 6544752, 15195, 1133678, 14256
trace.merge, 131072, 1, 32, 7678430, 7358453, 319977, 240617, 6544752, 79360, 1133678, 100479
trace.merge, 131072, 2, 32, 7678430, 7654399, 24031, 15446, 6544752, 8585, 1133678, 9217
trace.merge, 131072, 4, 32, 7678430, 7657295, 21135, 12960, 6544752, 8175, 1133678, 8228
trace.merge, 131072, 8, 32, 7678430, 7658168, 20262, 12403, 6544752, 7859, 1133678, 7938
trace.merge, 131072, 16, 32, 7678430, 7658328, 20102, 12152, 6544752, 7950, 1133678, 7794
trace.merge, 131072, 32, 32, 7678430, 7658211, 20219, 12102, 6544752, 8117, 1133678, 7828
trace.merge, 131072, 64, 32, 7678430, 7658219, 20211, 11997, 6544752, 8214, 1133678, 7796
trace.merge, 131072, 1, 64, 7678430, 7314419, 364011, 276916, 6544752, 87095, 1133678, 103262
trace.merge, 131072, 2, 64, 7678430, 7663591, 14839, 10246, 6544752, 4593, 1133678, 5431
trace.merge, 131072, 4, 64, 7678430, 7665634, 12796, 8497, 6544752, 4299, 1133678, 4799
trace.merge, 131072, 8, 64, 7678430, 7666140, 12290, 8060, 6544752, 4230, 1133678, 4603
trace.merge, 131072, 16, 64, 7678430, 7666317, 12113, 7840, 6544752, 4273, 1133678, 4533
trace.merge, 131072, 32, 64, 7678430, 7666233, 12197, 7836, 6544752, 4361, 1133678, 4552
trace.merge, 131072, 64, 64, 7678430, 7666220, 12210, 7822, 6544752, 4388, 1133678, 4531
trace.merge, 131072, 1, 128, 7678430, 7165761, 512669, 394146, 6544752, 118523, 1133678, 139168
trace.merge, 131072, 2, 128, 7678430, 7667940, 10490, 7939, 6544752, 2551, 1133678, 3468
trace.merge, 131072, 4, 128, 7678430, 7669628, 8802, 6477, 6544752, 2325, 1133678, 3010
trace.merge, 131072, 8, 128, 7678430, 7670364, 8066, 5752, 6544752, 2314, 1133678, 2907
trace.merge, 131072, 16, 128, 7678430, 7670572, 7858, 5547, 6544752, 2311, 1133678, 2840
trace.merge, 131072, 32, 128, 7678430, 7670641, 7789, 5463, 6544752, 2326, 1133678, 2860
trace.merge, 131072, 64, 128, 7678430, 7670666, 7764, 5427, 6544752, 2337, 1133678, 2881
trace.merge, 131072, 1, 256, 7678430, 6839748, 838682, 646383, 6544752, 192299, 1133678, 219606
trace.merge, 131072, 2, 256, 7678430, 7670340, 8090, 6581, 6544752, 1509, 1133678, 2413
trace.merge, 131072, 4, 256, 7678430, 7671662, 6768, 5448, 6544752, 1320, 1133678, 2076
trace.merge, 131072, 8, 256, 7678430, 7672503, 5927, 4648, 6544752, 1279, 1133678, 2005
trace.merge, 131072, 16, 256, 7678430, 7672666, 5764, 4500, 6544752, 1264, 1133678, 1950
trace.merge, 131072, 32, 256, 7678430, 7672804, 5626, 4366, 6544752, 1260, 1133678, 1940
trace.merge, 131072, 64, 256, 7678430, 7672835, 5595, 4331, 6544752, 1264, 1133678, 1920
trace.merge, 131072, 1, 512, 7678430, 6517903, 1160527, 916076, 6544752, 244451, 1133678, 264426
trace.merge, 131072, 2, 512, 7678430, 7670988, 7442, 6434, 6544752, 1008, 1133678, 1990
trace.merge, 131072, 4, 512, 7678430, 7672564, 5866, 5080, 6544752, 786, 1133678, 1631
trace.merge, 131072, 8, 512, 7678430, 7673284, 5146, 4378, 6544752, 768, 1133678, 1557
trace.merge, 131072, 16, 512, 7678430, 7673585, 4845, 4091, 6544752, 754, 1133678, 1515
trace.merge, 131072, 32, 512, 7678430, 7673721, 4709, 3976, 6544752, 733, 1133678, 1471
trace.merge, 131072, 64, 512, 7678430, 7673810, 4620, 3876, 6544752, 744, 1133678, 1466
trace.merge, 131072, 1, 1024, 7678430, 6392602, 1285828, 1010236, 6544752, 275592, 1133678, 297636
trace.merge, 131072, 2, 1024, 7678430, 7669541, 8889, 8017, 6544752, 872, 1133678, 2190
trace.merge, 131072, 4, 1024, 7678430, 7672354, 6076, 5561, 6544752, 515, 1133678, 1575
trace.merge, 131072, 8, 1024, 7678430, 7672930, 5500, 5006, 6544752, 494, 1133678, 1398
trace.merge, 131072, 16, 1024, 7678430, 7673535, 4895, 4394, 6544752, 501, 1133678, 1340
trace.merge, 131072, 32, 1024, 7678430, 7673816, 4614, 4110, 6544752, 504, 1133678, 1311
trace.merge, 131072, 64, 1024, 7678430, 7673824, 4606, 4106, 6544752, 500, 1133678, 1318
trace.merge, 131072, 1, 2048, 7678430, 5327680, 2350750, 1874111, 6544752, 476639, 1133678, 544124
trace.merge, 131072, 2, 2048, 7678430, 7665762, 12668, 11392, 6544752, 1276, 1133678, 3064
trace.merge, 131072, 4, 2048, 7678430, 7670144, 8286, 7854, 6544752, 432, 1133678, 1882
trace.merge, 131072, 8, 2048, 7678430, 7671270, 7160, 6758, 6544752, 402, 1133678, 1582
trace.merge, 131072, 16, 2048, 7678430, 7671893, 6537, 6142, 6544752, 395, 1133678, 1504
trace.merge, 131072, 32, 2048, 7678430, 7672711, 5719, 5315, 6544752, 404, 1133678, 1441
trace.merge, 131072, 64, 2048, 7678430, 7673226, 5204, 4818, 6544752, 386, 1133678, 1348
